Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations,Number of Atoms,Molecular Formula,Number of Bonds,Number of Rings,Topological Polar Surface Area,Rotatable Bonds,Number of Heavy Atoms,Number of Aromatic Rings,Number of Saturated Rings,Number of Aliphatic Rings,Number of Bridge Head Atoms,Percent of sp^3 Hybridization,Surface Area,Max Partial Charge,Hall Kier Alpha
2-aminohexanedioic acid,469,161.157,3,3,-0.3468,True,None,11,C6H11NO4,10,0,100.61999999999999,5,11,0,0,0,0,0.6666666666666666,63.815364,0.48123038,-1.1
"2,4-diaminobutanoic acid",470,118.136,3,3,-1.2529,True,None,8,C4H10N2O2,7,0,89.34,3,8,0,0,0,0,0.75,47.46961462,0.48008583,-0.61
"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one",471,304.254,5,7,1.1863,True,None,22,C15H12O7,24,3,127.45000000000002,1,22,2,0,1,0,0.13333333333333333,123.82372861,0.50767857,-2.93
"4-(2-aminophenyl)-2,4-dioxobutanoic acid",472,207.185,2,4,0.4953,True,None,15,C10H9NO4,15,1,97.46,4,15,1,0,0,0,0.1,85.50986233,0.47549031,-2.17
4-methylsulfanyl-2-oxobutanoic acid,473,148.183,1,3,0.3932,True,None,9,C5H8O3S,8,0,54.370000000000005,4,9,0,0,0,0,0.6,57.43940746,0.4755007,-0.51
"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dimethylamino hydrogen phosphate",474,390.293,4,12,-1.3621,False,Hydrogen bond acceptors > 10),26,C12H19N6O7P,28,3,178.30999999999997,6,26,2,1,1,0,0.5833333333333334,147.06661764,0.48858316,-1.7
"(3,4,5-trihydroxy-6-methyloxan-2-yl) dihydrogen phosphate",475,244.136,5,6,-2.0768,True,None,15,C6H13O8P,15,1,136.68,2,15,0,1,1,0,1.0,85.30600034,0.47152161,-0.05
3-hydroxy-3-methyl-5-phosphonooxypentanoic acid,476,228.137,4,4,-0.2885,True,None,14,C6H13O7P,13,0,124.29000000000002,6,14,0,0,0,0,0.8333333333333334,80.56557461,0.48115145,-0.46
"(2,5-dihydroxy-3,4,6-triphosphonooxycyclohexyl) dihydrogen phosphate",477,500.072,10,10,-3.3666,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5),28,C6H16O18P4,28,1,307.5,8,28,0,1,1,0,1.0,154.15309158,0.46953886,0.36
"(2,4-dihydroxy-3,5,6-triphosphonooxycyclohexyl) dihydrogen phosphate",478,500.072,10,10,-3.3666,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5),28,C6H16O18P4,28,1,307.5,8,28,0,1,1,0,1.0,154.15309158,0.46953926,0.36
"2,4-dihydroxy-3,3-dimethyl-N-[3-oxo-3-(2-sulfanylethylamino)propyl]butanamide",479,278.374,5,5,-1.0819,True,None,18,C11H22N2O4S,17,0,98.66000000000001,8,18,0,0,0,0,0.8181818181818182,112.55497491,0.39570116,-0.79
"2-(3,4-dihydroxyphenyl)-3,4,5-trihydroxychromen-7-one",480,302.238,5,7,1.9396,True,None,22,C15H10O7,24,3,131.36,1,22,1,0,2,0,0.0,122.4621241,0.50689073,-3.35
"(3,4,5,6-tetrahydroxy-2-oxohexyl) dihydrogen phosphate",481,260.135,6,7,-3.2602,False,Hydrogen bond donors > 5),16,C6H13O9P,15,0,164.75,7,16,0,0,0,0,0.8333333333333334,90.15404212,0.46950805,-0.38
"(2-hydroxy-3,4,5,6-tetraphosphonooxycyclohexyl) dihydrogen phosphate",482,580.051,11,11,-3.2496,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),32,C6H17O21P5,32,1,354.03000000000003,10,32,0,1,1,0,1.0,175.61048124,0.46953927,0.51
"[3,4-dihydroxy-2-(hydroxymethyl)-5-(phosphonooxymethyl)oxolan-2-yl] dihydrogen phosphate",483,340.114,7,8,-2.9858,False,Hydrogen bond donors > 5),20,C6H14O12P2,20,1,203.43999999999997,6,20,0,1,1,0,1.0,111.55762375,0.47182256,0.06
1H-imidazol-5-amine,484,83.094,2,2,-0.0081,True,None,6,C3H5N3,6,1,54.7,0,6,1,0,0,0,0.0,35.20010222,0.38395269,-0.99
2-(trimethylazaniumyl)ethyl sulfate,485,183.229,0,4,-0.8306,True,None,11,C5H13NO4S,10,0,66.43,4,11,0,0,0,0,1.0,67.12000976,0.72551654,-0.17
trimethyl(2-sulfooxyethyl)azanium,486,184.237,1,3,-0.488,True,None,11,C5H14NO4S+,10,0,63.60000000000001,4,11,0,0,0,0,1.0,67.12000976,0.3970634,-0.17
2-amino-5-[[1-(carboxymethylamino)-3-formylsulfanyl-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,488,335.338,5,7,-2.2125,True,None,22,C11H17N3O7S,21,0,175.89000000000001,11,22,0,0,0,0,0.5454545454545454,129.34747527,0.48008629,-2.14
"[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]sulfamic acid",489,259.236,6,7,-3.8213,False,Hydrogen bond donors > 5),16,C6H13NO8S,16,1,156.54999999999998,3,16,0,1,1,0,1.0,91.16248639,0.39356653,-0.33
2-oxoethylphosphonic acid,490,124.032,2,2,-0.637,True,None,7,C2H5O4P,6,0,74.60000000000001,2,7,0,0,0,0,0.5,40.31712316,0.33212829,-0.18
,491,192.195,0,7,-1.36,True,None,9,O6S3-2,8,0,114.4,2,9,0,0,0,0,0.0,54.55461513,0.73854091,0.17
,492,194.211,2,5,-0.6748,True,None,9,H2O6S3,8,0,108.74,2,9,0,0,0,0,0.0,54.55461513,0.33624857,0.17
"2-amino-5-[[amino-[[5-[[[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxymethyl]-3,4-dihydroxyoxolan-2-yl]amino]methylidene]amino]pentanoic acid",493,715.507,11,19,-4.1786,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),47,C21H35N9O15P2,50,4,385.02,15,47,2,2,2,0,0.6666666666666666,263.87151765,0.4807077,-2.93
"5-(methylsulfanylmethyl)oxolane-2,3,4-triol",494,180.225,3,5,-1.2116,True,None,11,C6H12O4S,11,1,69.92,2,11,0,1,1,0,1.0,69.17748696,0.38745973,0.19
"2-amino-4-[(3,4,5-trihydroxyoxolan-2-yl)methylsulfanyl]butanoic acid",495,267.303,5,7,-2.0394,True,None,17,C9H17NO6S,17,1,133.24,6,17,0,1,1,0,0.8888888888888888,102.56795985,0.48008607,-0.38
N-[3-(4-aminobutylamino)propyl]acetamide,496,187.287,3,3,-0.1589,True,None,13,C9H21N3O,12,0,67.15,8,13,0,0,0,0,0.8888888888888888,80.25992511,0.35629793,-0.61
"[[2-amino-4-oxo-6,7-bis(sulfanyl)-1,5,5a,8,9a,10-hexahydropyrano[3,2-g]pteridin-8-yl]methoxy-hydroxyphosphoryl] [5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",498,740.567,12,21,-2.0606,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),47,C20H26N10O13P2S2,52,6,346.62999999999994,9,47,3,1,3,0,0.45,271.25136623,0.48071833,-3.03
5-oxopyrrolidine-2-carboxylic acid,499,129.115,2,2,-0.6504,True,None,9,C5H7NO3,9,1,66.4,1,9,0,1,1,0,0.6,51.86032847,0.47971732,-1.06
4-(diaminomethylideneamino)butanoic acid,500,145.162,3,2,-0.8754,True,None,10,C5H11N3O2,9,0,101.69999999999999,4,10,0,0,0,0,0.6,58.72987922,0.48122955,-1.26
2-amino-5-[[amino(dimethylamino)methylidene]amino]pentanoic acid,501,202.258,3,3,-0.9452,True,None,14,C8H18N4O2,13,0,104.94,5,14,0,0,0,0,0.75,83.58453923,0.48008644,-1.3
4-aminobutylurea,502,131.179,3,2,-0.6064,True,None,9,C5H13N3O,8,0,81.14,4,9,0,0,0,0,0.8,54.59018516,0.35166868,-0.77
2-amino-N-carbamoylacetamide,503,117.108,3,3,-1.86,True,None,8,C3H7N3O2,7,0,98.21,1,8,0,0,0,0,0.3333333333333333,46.02182303,0.35130086,-1.1
"1,4-dihydroimidazol-5-one",504,84.078,1,2,-0.8555,True,None,6,C3H4N2O,6,1,41.46,0,6,0,0,1,0,0.3333333333333333,35.07001087,0.31555119,-0.86
"[5-[(5-amino-2,4-dioxo-1H-pyrimidin-6-yl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",505,354.212,8,9,-3.3867,False,Hydrogen bond donors > 5),23,C9H15N4O9P,24,2,220.21999999999994,5,23,1,1,1,0,0.5555555555555556,126.85601172,0.46917069,-1.73
"7,8-dimethyl-10H-benzo[g]pteridine-2,4-dione",506,242.238,2,4,0.72804,True,None,18,C12H10N4O2,20,3,91.5,0,18,1,0,2,0,0.16666666666666666,101.08070709,0.34944054,-2.5
"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2,3-dihydroxypropyl hydrogen phosphate",507,477.256,7,14,-2.9515,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),30,C12H21N3O13P2,31,2,253.34999999999994,10,30,1,1,1,0,0.6666666666666666,167.81459391,0.4807077,-1.26
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [hydroxy(phosphonooxy)phosphoryl] hydrogen phosphate",508,587.161,8,16,-1.512,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),35,C10H17N5O16P4,37,3,325.65999999999997,10,35,2,1,1,0,0.5,192.67571873,0.48955464,-1.21
"[[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [[[5-(2-amino-6-oxo-3H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl] hydrogen phosphate",509,868.389,12,25,-3.8598,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),55,C20H28N10O21P4,60,6,473.90999999999997,14,55,4,2,2,0,0.5,300.99569184,0.48955464,-3.38
"2,4,6-trihydroxy-1,3,5,2lambda5,4lambda5,6lambda5-trioxatriphosphinane 2,4,6-trioxide",510,239.937,3,6,0.351,True,None,12,H3O9P3,12,1,139.59,0,12,0,1,1,0,0.0,65.74064673,0.48956219,0.45
"[2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",511,505.299,5,10,0.95874,False,Molecular Weight (g/mol) > 500),30,C12H20N4O10P3S+,31,2,215.49999999999994,10,30,2,0,0,0,0.4166666666666667,174.32878002,0.48954297,-1.08
"2,6-dioxo-6-phenylhex-3-enoic acid",512,218.208,1,3,1.4693,True,None,16,C12H10O4,16,1,71.44,5,16,1,0,0,0,0.08333333333333333,92.21025283,0.47524744,-2.23
"3-hydroxybutane-1,2,3-tricarboxylic acid",513,206.15,4,4,-1.0025,True,None,14,C7H10O7,13,0,132.13,5,14,0,0,0,0,0.5714285714285714,78.59040502,0.48120969,-1.63
"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2,3-dihydroxybenzoate",514,483.33,6,14,-0.5871,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),33,C17H18N5O10P,36,4,232.6,6,33,3,1,1,0,0.29411764705882354,183.79488716,0.52945606,-3.33
"2-hydroxybutane-1,2,3-tricarboxylic acid",515,206.15,4,4,-1.0025,True,None,14,C7H10O7,13,0,132.13,5,14,0,0,0,0,0.5714285714285714,78.59040502,0.48113863,-1.63
3-hydroxy-5-[hydroxy(phosphonooxy)phosphoryl]oxy-3-methylpentanoic acid,516,308.116,5,6,-0.1715,True,None,18,C6H14O10P2,17,0,170.82,8,18,0,0,0,0,0.8333333333333334,102.02296427,0.48115145,-0.31
"3-[7,13,17-tris(2-carboxyethyl)-3,8,12,18-tetrakis(carboxymethyl)-3,8,10-trimethyl-2,7,15,21,23,24-hexahydroporphyrin-2-yl]propanoic acid",517,878.885,11,10,4.1734,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5),63,C43H50N4O16,67,5,354.37,20,63,2,1,3,8,0.46511627906976744,358.6847211,0.48123011,-6.99
"3-[5,9,19-tris(2-carboxyethyl)-4,10,15-tris(carboxymethyl)-2-hydroxy-2,15,20-trimethyl-22-oxo-23-oxa-24,25,26,27-tetrazahexacyclo[16.5.1.13,6.18,11.113,16.01,20]heptacosa-3,5,8,10,12,16,18(24)-heptaen-14-yl]propanoic acid",518,894.884,11,12,2.8184,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),64,C43H50N4O17,69,6,363.6,18,64,2,2,4,8,0.5116279069767442,363.48203821,0.48123012,-6.77
"3,4-dihydroxy-5-oxo-6-phosphonooxyhexanoic acid",519,258.119,5,6,-2.1387,True,None,16,C6H11O9P,15,0,161.59,7,16,0,0,0,0,0.6666666666666666,89.52133046,0.481158,-0.83
(2-amino-3-hydroxyoctadecyl) dihydrogen phosphate,520,381.494,4,4,4.2652,True,None,25,C18H40NO5P,24,0,113.01,18,25,0,0,0,0,1.0,153.32901483,0.46913372,0.03
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxybutanethioate",521,853.631,10,20,-1.5644,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),54,C25H42N7O18P3S,56,3,383.86000000000007,21,54,2,1,1,0,0.68,310.30764046,0.4807077,-2.48
"3-[1-acetyl-8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,17-trimethyl-10,15,21,23-tetrahydro-3H-corrin-3-yl]propanoic acid",522,908.911,10,12,3.6435,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),65,C44H52N4O17,69,5,368.01,21,65,1,1,4,8,0.5227272727272727,370.29419048,0.48123012,-6.93
"2,5-dioxopentanoic acid",523,130.099,1,3,-0.3808,True,None,9,C5H6O4,8,0,71.44,4,9,0,0,0,0,0.4,51.47781954,0.47550093,-1.19
2-hydroxy-3-oxobutanedioic acid,524,148.07,3,4,-1.9144,True,None,10,C4H4O6,9,0,111.9,3,10,0,0,0,0,0.25,54.70134493,0.47897095,-1.43
2-hydroxybutanedioic acid,525,134.087,3,3,-1.0934,True,None,9,C4H6O5,8,0,94.83,3,9,0,0,0,0,0.5,50.53982283,0.48114715,-1.1
"3-[1-acetyl-8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-2,7,11,17-tetramethyl-3,10,15,21-tetrahydrocorrin-3-yl]propanoic acid",526,922.938,9,13,4.5155,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),66,C45H54N4O17,70,5,364.58,21,66,0,1,5,8,0.5555555555555556,377.05253472,0.48123012,-6.8
propanal,527,58.08,0,1,0.5953,True,None,4,C3H6O,3,0,17.07,1,4,0,0,0,0,0.6666666666666666,25.63065736,0.30341423,-0.33
2-phosphonooxyacetic acid,529,156.03,3,3,-0.8197,True,None,9,C2H5O6P,8,0,104.06,3,9,0,0,0,0,0.5,50.3115724,0.47952069,-0.42
"2-[[4-[(2-amino-5-methanimidoyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",530,472.462,8,9,-0.28043,False,Hydrogen bond donors > 5),34,C20H24N8O6,36,3,226.61999999999998,10,34,2,0,1,0,0.3,192.2406011,0.48122926,-4.62
"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-aminobutanethioate",531,852.647,10,20,-1.598,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),54,C25H43N8O17P3S,56,3,389.65000000000003,21,54,2,1,1,0,0.68,310.85329741,0.4807077,-2.48
"3-[8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,21,24-tetrahydrocorrin-3-yl]propanoic acid",532,894.928,10,12,4.5888,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),64,C44H54N4O16,68,5,347.18,20,64,0,1,5,8,0.5454545454545454,366.49100718,0.48123012,-6.6
selane,533,80.976,0,0,-0.9162,True,None,1,H2Se,0,0,0.0,0,1,0,0,0,0,0.0,17.96409803,nan,0.51948052
"3-[8,13,17-tris(2-carboxyethyl)-2,7,12,18-tetrakis(carboxymethyl)-1,2,7,11,17-pentamethyl-3,10,18,19,21,24-hexahydrocorrin-3-yl]propanoic acid",534,896.944,10,12,4.3195,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),64,C44H56N4O16,68,5,347.18,20,64,0,2,5,8,0.5909090909090909,367.18061021,0.48123012,-6.34
1-aminocyclopropane-1-carboxylic acid,535,101.105,2,2,-0.4377,True,None,7,C4H7NO2,7,1,63.31999999999999,1,7,0,1,1,0,0.75,41.12389277,0.47987496,-0.57
"3-[3,12,17-tris(2-carboxyethyl)-2,13,18-tris(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid",537,883.005,7,11,6.0077,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10); Octanol-water partition coefficient (LogP) > 5),63,C45H62N4O14,67,5,310.53999999999996,18,63,0,0,5,8,0.7111111111111111,365.34952617,0.48123025,-5.29
"3-[13,18-bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid",538,881.037,7,11,4.8091,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),63,C45H64N6O12,67,5,322.12,18,63,0,0,5,8,0.7111111111111111,366.44084006,0.48123025,-5.29
"3-[13,18-bis(2-amino-2-oxoethyl)-3,12,17-tris(2-carboxyethyl)-2-(carboxymethyl)-3,5,8,8,13,15,18,19-octamethyl-1,2,5,6,7,10,12,17-octahydrocorrin-7-yl]propanoic acid;cobalt",539,939.97,7,11,4.8066,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),64,C45H64CoN6O12,67,5,322.12,18,64,0,0,5,8,0.7111111111111111,382.76087354,0.48123025,-4.78350649
cyanic acid,540,43.025,1,2,-0.16002,True,None,3,CHNO,2,0,44.019999999999996,0,3,0,0,0,0,0.0,17.92606446,0.44283173,-0.71
4-nitrobenzaldehyde,541,151.121,0,3,1.4073,True,None,11,C7H5NO3,11,1,60.209999999999994,2,11,1,0,0,0,0.0,62.61084306,0.29789634,-1.71
2-(5-oxo-2H-furan-2-yl)acetic acid,542,142.11,1,3,-0.0573,True,None,10,C6H6O4,10,1,63.60000000000001,2,10,0,0,1,0,0.3333333333333333,57.0993506,0.48111936,-1.32
2-(carboxymethyl)-5-oxofuran-2-carboxylic acid,543,186.119,2,4,-0.6025,True,None,13,C7H6O6,13,1,100.90000000000002,3,13,0,0,1,0,0.2857142857142857,72.42004856,0.48109813,-1.85
arsorite,544,122.919,0,3,-3.9478,True,None,4,AsO3-3,3,0,69.17999999999999,0,4,0,0,0,0,0.0,28.8275495,nan,0.43844156
arsorous acid,545,125.943,3,3,-2.0518,True,None,4,H3AsO3,3,0,60.69,0,4,0,0,0,0,0.0,28.8275495,nan,0.43844156
2-phosphonoacetic acid,546,140.031,3,2,-0.7513,True,None,8,C2H5O5P,7,0,94.83,2,8,0,0,0,0,0.5,45.11135692,0.48076136,-0.38
"2-(3,4-dihydroxyphenyl)acetic acid",547,168.148,3,3,0.7249,True,None,12,C8H8O4,12,1,77.76,2,12,1,0,0,0,0.125,68.7055107,0.50425989,-1.71
5-(hydroxymethylidene)-2-oxohept-3-enedioic acid,548,200.146,3,4,0.1129,True,None,14,C8H8O6,13,0,111.89999999999999,5,14,0,0,0,0,0.125,78.78190732,0.51529295,-2.11
5-(dihydroxymethylidene)-2-oxohept-3-enedioic acid,549,216.145,4,5,-0.0014,True,None,15,C8H8O7,14,0,132.13,5,15,0,0,0,0,0.125,83.57614107,0.4809829,-2.31
"5-oxopent-3-ene-1,2,5-tricarboxylic acid",550,216.145,3,4,-0.6282,True,None,15,C8H8O7,14,0,128.97,6,15,0,0,0,0,0.25,83.63303245,0.4812029,-2.18
"2-hydroxyhepta-2,4-dienedioic acid",551,172.136,3,3,0.5438,True,None,12,C7H8O5,11,0,94.83,4,12,0,0,0,0,0.14285714285714285,68.25544311,0.50182801,-1.78
"4-[[5-[5-[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-1H-pteridin-6-yl)methylamino]phenyl]-2,3,4-trihydroxypentoxy]-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-[(1-carboxy-3-oxopropan-2-yl)amino]-5-oxopentanoic acid",552,847.725,14,21,-3.7159,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),58,C32H46N7O18P,61,4,404.00000000000006,24,58,2,1,2,0,0.5625,327.64946904,0.48122823,-4.63
4-hydroxy-2-oxoheptanedioic acid,553,190.151,3,4,-0.7441,True,None,13,C7H10O6,12,0,111.9,6,13,0,0,0,0,0.5714285714285714,73.79617127,0.48122919,-1.43
"1,1-dimethylpyrrolidin-1-ium-2-carboxylate",554,143.186,0,2,-1.0249,True,None,10,C7H13NO2,10,1,40.129999999999995,1,10,0,1,1,0,0.8571428571428571,60.84863357,0.54389473,-0.57
"1,1-dimethylpyrrolidin-1-ium-2-carboxylic acid",555,144.194,1,1,0.3098,True,None,10,C7H14NO2+,10,1,37.3,1,10,0,1,1,0,0.8571428571428571,60.84863357,0.47684991,-0.57
2-(3-carboxypropanoylamino)-5-oxopentanoic acid,556,231.204,3,4,-0.6003,True,None,16,C9H13NO6,15,0,120.77000000000001,8,16,0,0,0,0,0.5555555555555556,91.44320603,0.48121973,-1.92
1-methylpyrrolidine-2-carboxylic acid,557,129.159,1,2,0.1652,True,None,9,C6H11NO2,9,1,40.540000000000006,1,9,0,1,1,0,0.8333333333333334,54.27371997,0.48007519,-0.57
5-(diaminomethylideneamino)-2-oxopentanoic acid,558,173.172,3,3,-1.3063,True,None,12,C6H11N3O3,11,0,118.77,5,12,0,0,0,0,0.5,69.25634343,0.47550109,-1.59
2-(4-oxobutyl)guanidine,559,129.163,2,2,-0.7611,True,None,9,C5H11N3O,8,0,81.47,4,9,0,0,0,0,0.6,53.93564547,0.37015315,-1.06
"3,4,6-trihydroxy-5-oxohexanoic acid",560,178.14,4,5,-2.2557,True,None,12,C6H10O6,11,0,115.06000000000002,5,12,0,0,0,0,0.6666666666666666,68.06394081,0.481158,-0.98
"(5-methylsulfanyl-2,3-dioxopentyl) dihydrogen phosphate",561,242.189,2,5,-0.013,True,None,14,C6H11O6PS,13,0,100.9,7,14,0,0,0,0,0.6666666666666666,85.26173923,0.46952066,-0.2
"1,2-dihydroxy-5-methylsulfanylpent-1-en-3-one",562,162.21,2,4,1.266,True,None,10,C6H10O3S,9,0,57.53,4,10,0,0,0,0,0.5,63.7474582,0.51159607,-0.64
3-methylsulfanylpropanoic acid,563,120.173,1,2,0.8241,True,None,7,C4H8O2S,6,0,37.3,3,7,0,0,0,0,0.75,46.91294325,0.48120847,-0.18
6-aminohexanoic acid,564,131.175,2,2,0.5901,True,None,9,C6H13NO2,8,0,63.31999999999999,5,9,0,0,0,0,0.8333333333333334,54.85960815,0.48123039,-0.57
"4-[[5-[5-[4-[(2-amino-5-methyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]phenyl]-2,3,4-trihydroxypentoxy]-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-4-[(1-carboxy-3-oxopropan-2-yl)amino]-5-oxopentanoic acid",565,861.752,13,21,-3.6916,False,Molecular Weight (g/mol) > 500); Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),59,C33H48N7O18P,62,4,395.2100000000001,24,59,2,1,2,0,0.5757575757575758,334.22438264,0.48122823,-4.63
acetic acid;phenylmercury,566,337.748,1,1,0.9496,True,None,11,C8H9HgO2,10,1,37.3,0,11,1,0,0,0,0.125,82.21332239,nan,-0.37493506
phenylmercury,567,277.696,0,0,0.8587,True,None,7,C6H5Hg,7,1,0.0,0,7,1,0,0,0,0.0,59.52185116,nan,0.15506494
dibenzofuran,568,168.195,0,1,3.586,True,None,13,C12H8O,15,3,13.14,0,13,3,0,0,0,0.0,75.58906145,0.45606684,-1.76
"3-(2-hydroxyphenyl)benzene-1,2-diol",569,202.209,3,3,2.4704,True,None,15,C12H10O3,16,2,60.69,1,15,2,0,0,0,0.0,86.87119858,0.50730905,-2.16
"6-hydroxy-2-oxo-6-phenylhexa-3,5-dienoic acid",570,218.208,2,3,1.7954,True,None,16,C12H10O4,16,1,74.60000000000001,4,16,1,0,0,0,0.0,92.15336145,0.50733453,-2.36
4-(8-amino-8-oxo-1-sulfanyloctan-3-yl)sulfanyl-4-oxobutanoic acid,571,307.437,3,5,1.8452,True,None,19,C12H21NO4S2,18,0,97.46000000000001,11,19,0,0,0,0,0.75,122.65048172,0.48122023,-0.69
3-[formyl(hydroxy)amino]propylphosphonic acid,572,183.1,3,3,-0.5982,True,None,11,C4H10NO5P,10,0,98.07000000000001,5,11,0,0,0,0,0.75,63.55511331,0.32513231,-0.42
"1,3,3-trimethyl-2-[3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene",573,536.888,0,0,12.6058,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5),40,C40H56,41,2,0.0,10,40,0,0,2,0,0.45,247.37469783,0.06957435,-2.86
"2-(3,4-dihydroxyphenyl)-4,5-dihydroxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-7-one",574,464.379,8,12,-0.5873,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),33,C21H20O12,36,4,210.50999999999996,4,33,1,1,3,0,0.2857142857142857,184.25573735,0.50689073,-3.55
"4,5-dihydroxy-2-(4-hydroxyphenyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-7-one",575,448.38,7,11,-0.2929,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10),32,C21H20O11,35,4,190.27999999999997,4,32,1,1,3,0,0.2857142857142857,179.46150359,0.50796621,-3.35
"3,4,5-trihydroxy-2-(4-hydroxyphenyl)chromen-7-one",576,286.239,4,6,2.234,True,None,21,C15H10O6,23,3,111.13000000000001,1,21,1,0,2,0,0.0,117.66789034,0.50796621,-3.15
