Compound Name,PubChem ID,Molecular Weight (g/mol),H-Donors,H-Acceptors,LogP,Drug Possibility,Lipinski Violations
"naphthalene-1,4-diamine",16719,158.204,2,2,2.0042,True,None
"naphthalene-1,5-diamine",16720,158.204,2,2,2.0042,True,None
"1,3,5-trinitronaphthalene",16721,263.165,0,6,2.5644,True,None
undecanenitrile,16722,167.296,0,1,4.04078,True,None
"1,3-diazinane-2,4,5,6-tetrone;hydrate",16723,160.085,2,4,-2.9032,True,None
(5S)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,16724,150.221,0,1,2.4879,True,None
"potassium 1,5-dichloro-4,6-dioxo-1,3,5-triazin-2-olate",16725,236.055,0,6,-4.5136,True,None
"1,3-dichloro-1,3,5-triazinane-2,4,6-trione",16726,197.965,1,5,-1.2979,True,None
"dimethyl-[2-(11-methyl-6H-benzo[b][1,4]benzodiazepin-5-yl)ethyl]azanium;4-hydroxy-4-oxobut-2-enoate",16727,397.475,2,5,0.2961,True,None
"N,N-dimethyl-2-(11-methyl-6H-benzo[b][1,4]benzodiazepin-5-yl)ethanamine",16728,281.403,0,3,3.3361,True,None
"2-(6,11-dihydrobenzo[b][1,4]benzodiazepin-5-yl)ethyl-dimethylazanium;4-hydroxy-4-oxobut-2-enoate",16729,383.448,3,5,0.2718,True,None
"2-(6,11-dihydrobenzo[b][1,4]benzodiazepin-5-yl)-N,N-dimethylethanamine",16730,267.376,1,3,3.3118,True,None
"2-(2-chloro-6,11-dihydrobenzo[b][1,4]benzodiazepin-5-yl)-N,N-dimethylethanamine",16731,301.821,1,3,3.9652,True,None
"1,6,7-trimethylnaphthalene",16732,170.255,0,0,3.76506,True,None
2-methylnaphthalen-1-amine,16733,157.216,1,1,2.73042,True,None
2-[2-(4-fluorophenoxy)acetyl]oxyethyl-dimethylazanium chloride,16734,277.723,1,3,-3.1038,True,None
2-(dimethylamino)ethyl 2-(4-fluorophenoxy)acetate,16735,241.262,0,4,1.3093,True,None
5-(trifluoromethyl)-1H-indazol-3-amine,16736,201.151,2,2,2.1639,True,None
dipropoxy-sulfanyl-sulfanylidene-lambda5-phosphane,16737,214.292,1,3,2.9939,True,None
dimethyl (3-methyl-4-nitrophenyl) phosphate,16738,261.17,0,6,2.68292,True,None
4-[4-(3-chlorophenyl)-4-(pyrrolidin-1-ium-1-carbonyl)piperidin-1-ium-1-yl]-4-fluoro-1-phenylbutan-1-one;oxalate,16739,547.023,2,6,-1.0933,False,Molecular Weight (g/mol) > 500)
4-[4-(3-chlorophenyl)-4-(pyrrolidine-1-carbonyl)piperidin-1-yl]-4-fluoro-1-phenylbutan-1-one,16740,456.989,0,3,5.2547,False,Octanol-water partition coefficient (LogP) > 5)
2-isothiocyanatoethylbenzene,16741,163.245,0,2,2.3319,True,None
"2,3,3-trichloroprop-2-enoic acid",16742,175.398,1,1,1.9565,True,None
(2-bromophenyl)methyl-[2-[[2-[2-[(2-bromophenyl)methyl-diethylazaniumyl]ethylamino]-2-oxoacetyl]amino]ethyl]-diethylazanium dibromide,16743,786.286,2,2,-1.1346,False,Molecular Weight (g/mol) > 500)
(2-bromophenyl)methyl-[2-[[2-[2-[(2-bromophenyl)methyl-diethylazaniumyl]ethylamino]-2-oxoacetyl]amino]ethyl]-diethylazanium,16744,626.478,2,2,4.8574,False,Molecular Weight (g/mol) > 500)
"3-[[4-[3-[diethyl(methyl)azaniumyl]propylamino]-3,6-dioxocyclohexa-1,4-dien-1-yl]amino]propyl-diethyl-methylazanium dibromide",16745,554.412,2,4,-4.1538,False,Molecular Weight (g/mol) > 500)
"3-[[4-[3-[diethyl(methyl)azaniumyl]propylamino]-3,6-dioxocyclohexa-1,4-dien-1-yl]amino]propyl-diethyl-methylazanium",16746,394.604,2,4,1.8382,True,None
"cis-(1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylic acid",16747,168.236,1,1,2.3094,True,None
"4-(4-acetyloxy-3-iodophenoxy)-3,5-diiodobenzoic acid",16748,649.944,1,4,4.9162,False,Molecular Weight (g/mol) > 500)
ethyl 1-[3-(oxolan-2-yl)propyl]-4-phenylpiperidine-4-carboxylate,16749,345.483,0,4,3.5425,True,None
ethyl 1-[4-(oxolan-2-yl)butyl]-4-phenylpiperidine-4-carboxylate,16750,359.51,0,4,3.9326,True,None
1-methyl-6-(trifluoromethyl)quinolin-2-one,16751,227.185,0,2,2.5573,True,None
"[2-[(8S,9R,10S,11S,13S,14S,16R,17R)-9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl] pyridine-4-carboxylate",16752,497.563,2,7,3.1554,True,None
"(6aS)-1,2,9,10-tetramethoxy-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinolin-6-ium chloride",16753,391.895,1,4,-0.94,True,None
"(6aS)-1,2,9,10-tetramethoxy-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline",16754,355.434,0,5,3.4731,True,None
diethyl-[3-(9-hydroxyfluoren-9-yl)prop-2-ynyl]-methylazanium bromide,16755,386.333,1,1,0.3967,True,None
diethyl-[3-(9-hydroxyfluoren-9-yl)prop-2-ynyl]-methylazanium,16756,306.429,1,1,3.3927,True,None
5-phenylpentanoic acid,16757,178.231,1,1,2.484,True,None
N-[6-(aziridine-1-carbonylamino)hexyl]aziridine-1-carboxamide,16758,254.334,2,2,0.5972,True,None
2-aminoethanol;octadec-9-enoic acid,16759,343.552,3,3,5.0459,False,Octanol-water partition coefficient (LogP) > 5)
"4,6-dichloro-N-(2-methylphenyl)-1,3,5-triazin-2-amine",16760,255.108,1,4,3.23042,True,None
"4,6-dichloro-N-(4-methylphenyl)-1,3,5-triazin-2-amine",16761,255.108,1,4,3.23042,True,None
"2-N,4-N,6-N-tris(2-chlorophenyl)-1,3,5-triazine-2,4,6-triamine",16762,457.752,3,6,7.0626,False,Octanol-water partition coefficient (LogP) > 5)
"4,6-dichloro-N-(4-chlorophenyl)-1,3,5-triazin-2-amine",16763,275.526,1,4,3.5754,True,None
"4,6-dichloro-N-(2,5-dichlorophenyl)-1,3,5-triazin-2-amine",16764,309.971,1,4,4.2288,True,None
"4,6-dichloro-N-(2,4,5-trichlorophenyl)-1,3,5-triazin-2-amine",16765,344.416,1,4,4.8822,True,None
"4,6-dichloro-N-phenyl-1,3,5-triazin-2-amine",16766,241.081,1,4,2.922,True,None
butyl-hydroxy-oxotin,16767,208.833,1,1,0.6975,True,None
N-carbamoyl-2-ethylbutanamide,16768,158.201,2,2,0.6175,True,None
"[2-chloro-1-(2,4-dichlorophenyl)ethenyl] dimethyl phosphate",16769,331.519,0,4,4.9481,True,None
"(4-chlorophenyl)sulfanyl-(2,4,5-trichlorophenyl)diazene",16770,352.073,0,3,7.0912,False,Octanol-water partition coefficient (LogP) > 5)
2-(dodecylamino)acetic acid,16771,243.391,2,2,3.5815,True,None
"6-chloro-3-(hydroxymethyl)-1,3-benzoxazol-2-one",16772,199.593,1,4,1.1977,True,None
"(2,5-dichlorophenyl)sulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane",16773,377.32,0,5,6.0737,False,Octanol-water partition coefficient (LogP) > 5)
2-diethoxyphosphinothioylsulfanyl-N-propan-2-ylacetamide,16774,285.371,1,5,2.5417,True,None
3-(2-dimethoxyphosphorylsulfanylethylsulfanyl)-N-methylpropanamide,16775,287.343,1,6,1.9898,True,None
ethyl N-[bis(aziridin-1-yl)phosphoryl]ethanimidate,16776,217.209,0,2,1.1806,True,None
non-4-enal,16777,140.226,0,1,2.7119,True,None
non-6-enal,16778,140.226,0,1,2.7119,True,None
"2,3,5-trichloro-N-(3,5-dichloro-2-hydroxyphenyl)-6-hydroxybenzamide",16779,401.46,3,3,5.6171,False,Octanol-water partition coefficient (LogP) > 5)
(2-chlorophenyl)methyl-[4-[(2-chlorophenyl)methylazaniumyl]-1-bicyclo[2.2.2]octanyl]azanium dichloride,16780,462.292,2,0,-2.3262,True,None
"1-N,4-N-bis[(2-chlorophenyl)methyl]bicyclo[2.2.2]octane-1,4-diamine",16781,389.37,2,2,5.7182,False,Octanol-water partition coefficient (LogP) > 5)
nitro ethaneperoxoate,16782,121.048,0,5,-0.3272,True,None
(carbamoylamino)-phenylmercury,16783,336.744,2,1,-0.0223,True,None
chloro(tripropyl)stannane,16784,283.431,0,0,4.4007,True,None
"4-amino-2-[4,6-diamino-3-[3-amino-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-6-(hydroxymethyl)oxane-3,5-diol",16785,484.503,11,15,-7.2914,False,Hydrogen bond donors > 5); Hydrogen bond acceptors > 10)
"3-amino-2,5-dichlorobenzamide",16786,205.044,2,2,1.6745,True,None
(3-pentan-2-ylphenyl) N-methylcarbamate,16787,221.3,1,2,3.3084,True,None
"[1-(2,6-diethylphenoxy)-1-oxopropan-2-yl]-diethylazanium chloride",16788,313.869,1,2,-0.966,True,None
"(2,6-diethylphenyl) 2-(diethylamino)propanoate",16789,277.408,0,3,3.4471,True,None
2-hydroxynaphthalene-1-carboxylic acid,16790,188.182,2,2,2.2436,True,None
[2-(2-chloro-6-methylphenoxy)-2-oxoethyl]-diethylazanium chloride,16791,292.206,1,2,-1.51748,True,None
(2-chloro-6-methylphenyl) 2-(diethylamino)acetate,16792,255.745,0,3,2.89562,True,None
"[(17R)-3,17-diacetyloxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-16-yl] acetate",16793,414.498,0,6,3.9413,True,None
1-isocyanato-2-(trifluoromethyl)benzene,16794,187.12,0,2,2.6727,True,None
"5-phenyl-7-(trifluoromethyl)-1,3-dihydro-1,4-benzodiazepin-2-one",16795,304.271,1,2,3.4949,True,None
"ethyl 3-(1,3-benzodioxol-5-yl)-2-cyanoprop-2-enoate",16796,245.234,0,5,1.88538,True,None
"1-methyl-2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecane",16797,189.287,0,4,-0.0659,True,None
"(9-methyl-9-azabicyclo[3.3.1]nonan-3-yl) 2,2-diphenylacetate",16798,349.474,0,3,4.377,True,None
N'-(4-methoxyphenyl)carbamimidothioic acid,16799,182.248,2,2,1.5712,True,None
2-pentylpyridine,16800,149.237,0,1,2.8143,True,None
9-ethyl-9H-fluorene,16801,194.277,0,0,4.2089,True,None
"3,4-dihydro-2H-pyrrole-5-thiol",16802,101.174,1,1,1.1085,True,None
"2-pyridin-3-yl-1,3-benzoxazole",16803,196.209,0,3,2.8898,True,None
"2-pyridin-4-yl-1,3-benzoxazole",16804,196.209,0,3,2.8898,True,None
"[(3S,8R,9S,10R,13S,14S,17S)-10,13-dimethyl-17-propanoyloxy-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] propanoate",16805,402.575,0,4,5.5928,False,Octanol-water partition coefficient (LogP) > 5)
"[(4,5-dioxocyclohepta-2,6-dien-1-ylidene)amino] acetate",16806,193.158,0,5,0.1697,True,None
"2-hydroxy-5-nitrosocyclohepta-2,4,6-trien-1-one",16807,151.121,1,4,1.1503,True,None
2-methyl-4-[(2-methylphenyl)diazenyl]aniline;hydrochloride,16808,261.756,1,3,4.72284,True,None
2-(diphenylcarbamoyloxy)ethyl-dimethylazanium chloride,16809,320.82,1,2,-0.8902,True,None
"2-(dimethylamino)ethyl N,N-diphenylcarbamate",16810,284.359,0,3,3.5229,True,None
"3,6-dichloro-2-methoxybenzoic acid;N-methylmethanamine",16811,266.124,2,3,2.5358,True,None
N'-(1-phenylethylideneamino)carbamimidothioic acid,16812,193.275,2,2,1.6551,True,None
disodium;6-hydroxy-5-[(4-sulfonatonaphthalen-1-yl)diazenyl]naphthalene-2-sulfonate,16813,502.437,1,9,-2.0698,False,Molecular Weight (g/mol) > 500)
6-hydroxy-5-[(4-sulfonaphthalen-1-yl)diazenyl]naphthalene-2-sulfonic acid,16814,458.473,3,7,4.6074,True,None
1-chloro-3-(4-nitrophenoxy)benzene,16815,249.653,0,3,4.0405,True,None
1-methyl-3-(4-nitrophenoxy)benzene,16816,229.235,0,3,3.69552,True,None
"[(2S,4R,5S)-4-hydroxy-5-methyloxolan-2-yl]methyl-trimethylazanium chloride",16817,209.717,1,2,-2.7651,True,None
"(8R,9S,10S,13S,14S,17S)-2,17-dihydroxy-10,13,17-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",16818,316.441,2,3,3.931,True,None
"chrysene-1,2-dione",16819,258.276,0,2,3.7716,True,None
"pyrene-1,8-dione",16820,232.238,0,2,3.2588,True,None
5-octyloxolan-2-one,16821,198.306,0,2,3.4426,True,None
4-(3-hydroxypropyl)-2-methoxyphenol,16822,182.219,2,3,1.3257,True,None
"cyclohex-4-ene-1,2-dicarboxylic acid",16823,170.164,2,2,0.738,True,None
"2,3,5-trichloro-6-methoxybenzoic acid",16824,255.484,1,2,3.3536,True,None
"2-(2,4-dichlorophenoxy)acetic acid;2-(2-hydroxyethylamino)ethanol",16825,326.176,4,5,1.0174,True,None
N-(3-chloro-4-methylphenyl)-2-methylpentanamide,16826,239.746,1,1,4.02312,True,None
"2,3-dihydro-1,4-benzodioxin-3-ylmethyl(3-methoxypropyl)azanium chloride",16827,273.76,1,3,-2.5697,True,None
"N-(2,3-dihydro-1,4-benzodioxin-3-ylmethyl)-3-methoxypropan-1-amine",16828,237.299,1,4,1.4525,True,None
"3,6-dibenzylpiperazine-2,5-dione",16829,294.354,2,2,1.455,True,None
methyl 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate,16830,208.213,1,4,1.587,True,None
"N-[1-[(3S,5S,8R,9S,10S,13S,14S)-3-(dimethylamino)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethyl]-N-methylacetamide",16831,402.667,0,2,5.4423,False,Octanol-water partition coefficient (LogP) > 5)
propan-2-yl hexanoate,16832,158.241,0,2,2.5183,True,None
propan-2-yl decanoate,16833,214.349,0,2,4.0787,True,None
N-benzyl-9-(oxan-2-yl)purin-6-amine,16834,309.373,1,6,3.1375,True,None
3-methylhexan-2-ol,16835,116.204,1,1,1.8034,True,None
"4-[(4-ethoxyphenyl)diazenyl]benzene-1,3-diamine;hydrochloride",16836,292.77,2,5,4.0869,True,None
"4-[(4-ethoxyphenyl)diazenyl]benzene-1,3-diamine",16837,256.309,2,5,3.6651,True,None
"2-butylsulfanyl-1,3-benzothiazole",16838,223.366,0,3,4.1885,True,None
"3,5-dichloro-4-hydroxybenzaldehyde",16839,191.013,1,2,2.5115,True,None
bis(methylsulfanyl)methanethione,16840,138.282,0,3,1.9973,True,None
bis(ethylsulfanyl)methanethione,16841,166.336,0,3,2.7775,True,None
"1-ethylpyrrolidine-2,5-dione",16842,127.143,0,2,0.1553,True,None
trifluoro(iodo)methane,16843,195.909,0,0,1.9412,True,None
"2-chloro-N,N-diethylacetamide",16844,149.621,0,1,1.0936,True,None
2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[4-(6-methylheptyl)phenoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,16845,646.859,1,11,3.966,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
propyl benzoate,16846,164.204,0,2,2.2534,True,None
"4-(3,4-dihydroxyphenyl)-6,7-dihydroxy-3a,4,9,9a-tetrahydro-3H-benzo[f][2]benzofuran-1-one",16847,328.32,4,6,1.9862,True,None
"3-(3,4-dimethoxyphenyl)prop-2-enoic acid",16848,208.213,1,3,1.8016,True,None
"(6R,7R)-4-ethylidene-7-hydroxy-6,7,14-trimethyl-2,9-dioxa-14-azabicyclo[9.5.1]heptadec-11-ene-3,8,17-trione",16849,365.426,1,7,1.0095,True,None
"3',6'-dihydroxyspiro[2-benzofuran-3,9'-xanthene]-1-one",16850,332.311,2,5,3.6658,True,None
azanium hydroxy(methyl)arsinate,16851,157.001,2,2,-1.2856,True,None
2-iminocyclopentane-1-carbonitrile,16852,108.144,1,2,1.32985,True,None
3-(1-methyl-3-propylpyrrolidin-3-yl)phenol;hydrochloride,16853,255.789,1,2,3.1874,True,None
"(3,4-dichlorophenyl)urea",16854,205.044,2,1,2.484,True,None
"6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-2-ium chloride",16855,229.707,1,2,-2.6727,True,None
2-(4-butoxy-3-methylphenyl)-N-hydroxyacetamide,16856,237.299,2,3,2.22182,True,None
"3,4,5-triiodobenzoic acid",16857,499.811,1,1,3.1986,True,None
"5,6-dinitro-2-(trifluoromethyl)-1H-benzimidazole",16858,276.13,1,5,2.3981,True,None
"5,6-dichloro-2-(trifluoromethyl)-1H-benzimidazole",16859,255.026,1,1,3.8885,True,None
4-chloro-2-(trifluoromethyl)-1H-benzimidazole,16860,220.581,1,1,3.2351,True,None
"4-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-fluoropyrimidin-2-one",16861,261.209,4,8,-2.4239,True,None
2-fluoro-N'-phenylacetohydrazide,16862,168.171,2,2,1.0992,True,None
"2,4-difluoro-6-(4-nitrophenoxy)-1,3,5-triazine",16863,254.152,0,6,1.8503,True,None
"3,7-dimethylocta-2,6-dienyl 2-methylpropanoate",16864,224.344,0,2,3.8783,True,None
4-acetyloxybenzoic acid,16865,180.159,1,3,1.3101,True,None
3-chloroprop-2-enoic acid,16866,106.508,1,1,0.8235,True,None
"2-methyl-4,5-dihydro-1,3-thiazole",16867,101.174,0,2,1.1516,True,None
disodium;6-hydroxy-5-[(3-sulfonatophenyl)diazenyl]naphthalene-2-sulfonate,16868,452.377,1,9,-3.223,True,None
6-hydroxy-5-[(3-sulfophenyl)diazenyl]naphthalene-2-sulfonic acid,16869,408.413,3,7,3.4542,True,None
"2-(dimethylamino)naphthalene-1,4-dione",16870,201.225,0,3,1.5111,True,None
"2-methoxynaphthalene-1,4-dione",16871,188.182,0,3,1.5959,True,None
hexyl 2-methylpropanoate,16872,172.268,0,2,2.7659,True,None
"5-amino-1,3,4-thiadiazole-2-thiol",16873,133.201,2,5,0.409,True,None
"2,6-bis(2-methylbutan-2-yl)benzene-1,4-diol",16874,250.382,2,2,4.473,True,None
2-chlorododecane,16875,204.785,0,0,5.1445,False,Octanol-water partition coefficient (LogP) > 5)
1-chloro-5-methylheptane,16876,148.677,0,0,3.4416,True,None
diethyl-[2-(4-methoxybenzoyl)oxyethyl]azanium chloride,16877,287.787,1,3,-2.2193,True,None
2-(diethylamino)ethyl 4-methoxybenzoate,16878,251.326,0,4,2.1938,True,None
diethyl-[2-(4-propoxybenzoyl)oxyethyl]azanium chloride,16879,315.841,1,3,-1.4391,True,None
2-(diethylamino)ethyl 4-propoxybenzoate,16880,279.38,0,4,2.974,True,None
2-(diethylamino)ethyl 4-butoxybenzoate;hydrochloride,16881,329.868,0,4,3.7859,True,None
2-(diethylamino)ethyl 4-butoxybenzoate,16882,293.407,0,4,3.3641,True,None
1-ethenyl-4-phenylbenzene,16883,180.25,0,0,3.9966,True,None
"4,6-dichloro-N-(4-nitrophenyl)-1,3,5-triazin-2-amine",16884,286.078,1,6,2.8302,True,None
"6-chloro-2-N,4-N-bis(4-nitrophenyl)-1,3,5-triazine-2,4-diamine",16885,387.743,2,9,3.8286,True,None
"4-amino-1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one",16886,228.208,3,8,-2.1388,True,None
"disodium;2-[[4-[ethyl-[(3-sulfonatophenyl)methyl]amino]phenyl]-[4-[ethyl-[(3-sulfonatophenyl)methyl]azaniumylidene]cyclohexa-2,5-dien-1-ylidene]methyl]-5-hydroxybenzenesulfonate",16887,808.864,1,11,-1.2595,False,Molecular Weight (g/mol) > 500); Hydrogen bond acceptors > 10)
"ethyl-[4-[[4-[ethyl-[(3-sulfophenyl)methyl]amino]phenyl]-(4-hydroxy-2-sulfophenyl)methylidene]cyclohexa-2,5-dien-1-ylidene]-[(3-sulfophenyl)methyl]azanium",16888,765.908,4,8,5.7603,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5)
1-(4-fluorophenyl)-4-(4-phenylpiperazin-1-yl)butan-1-one,16889,326.415,0,3,3.6108,True,None
"(2S,4R,8S,11S,12R)-12-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosan-16-one",16890,438.536,2,6,2.7227,True,None
2-[2-(2-methylprop-2-enoyloxy)ethoxy]ethyl 2-methylprop-2-enoate,16891,242.271,0,5,1.2416,True,None
N-[(2-bromophenyl)methyl]-2-chloro-N-(2-chloroethyl)ethanamine,16892,311.05,0,1,3.7287,True,None
N-[(3-bromophenyl)methyl]-2-chloro-N-(2-chloroethyl)ethanamine,16893,311.05,0,1,3.7287,True,None
2-chloro-N-(2-chloroethyl)-N-[(2-chlorophenyl)methyl]ethanamine,16894,266.599,0,1,3.6196,True,None
2-chloro-N-(2-chloroethyl)-N-[(3-chlorophenyl)methyl]ethanamine,16895,266.599,0,1,3.6196,True,None
4-bromo-2-methylphenol,16896,187.036,1,1,2.46312,True,None
2-phenyldiazenylphenol,16897,198.225,1,3,3.8076,True,None
henicosanoic acid,16898,326.565,1,1,7.5028,False,Octanol-water partition coefficient (LogP) > 5)
"deca-2,4-dienal",16899,152.237,0,1,2.878,True,None
oct-2-enal,16900,126.199,0,1,2.3218,True,None
"4-(3,4-dinitrophenyl)-1,2-dinitrobenzene",16901,334.2,0,8,2.9864,True,None
(3S)-3-hexadecanoyloxy-4-(trimethylazaniumyl)butanoate,16902,399.616,0,4,4.2257,True,None
[(2S)-3-carboxy-2-hexadecanoyloxypropyl]-trimethylazanium,16903,400.624,1,3,5.5604,False,Octanol-water partition coefficient (LogP) > 5)
N'-ethylpyridine-4-carbohydrazide,16904,165.196,2,3,0.3359,True,None
N'-(isoquinolin-1-ylmethylideneamino)carbamimidothioic acid,16905,230.296,2,3,1.8132,True,None
3-diazenyl-1H-indol-2-ol,16906,161.164,3,3,2.53597,True,None
methyl 2-sulfanylacetate,16907,106.146,1,3,0.0892,True,None
1-fluorobutane,16908,76.114,0,0,1.756,True,None
methyl 4-fluorobut-2-enoate,16909,118.107,0,2,0.6851,True,None
"1,2,3,5-tetrafluorobenzene",16910,150.074,0,0,2.243,True,None
"2,2-dimethylpentan-1-ol",16911,116.204,1,1,1.805,True,None
"2,2-dimethylhexan-1-ol",16912,130.231,1,1,2.1951,True,None
"1,2,7,7-tetramethylbicyclo[2.2.1]heptan-2-ol",16913,168.28,1,1,2.5836,True,None
sodium butan-1-olate,16914,96.105,0,1,-2.8492,True,None
ethyl 4-phenyl-1-prop-2-enylpiperidine-4-carboxylate,16915,273.376,0,3,2.7693,True,None
chloro(methylsulfanyl)methane,16916,96.582,0,1,1.5457,True,None
"3-(1,3-benzodioxol-5-yl)prop-2-enoic acid",16917,192.17,1,3,1.5131,True,None
2-amino-5-(4-amino-3-hydroxyphenyl)phenol,16918,216.24,4,4,1.9292,True,None
"4-bromo-2,6-dimethylphenol",16919,201.063,1,1,2.77154,True,None
5-methylsulfonyloxypentyl methanesulfonate,16920,260.333,0,6,0.1091,True,None
propan-2-yl 2-chloro-6-sulfamoylbenzoate,16921,277.729,1,4,1.5526,True,None
"sodium 4-[2-[(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-6,10,13-trimethyl-3-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-yl]-2-oxoethoxy]-4-oxobutanoate",16922,496.532,2,8,-2.1114,True,None
"4-[2-[(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-6,10,13-trimethyl-3-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-yl]-2-oxoethoxy]-4-oxobutanoic acid",16923,474.55,3,7,2.2193,True,None
"1,1,1,3,3,3-hexafluoro-2-(trifluoromethyl)propan-2-ol",16924,236.033,1,1,2.4044,True,None
"2,3-dimethylquinoxaline",16925,158.204,0,2,2.24664,True,None
6-chloro-2-(6-chloro-4-methyl-3-oxo-1-benzothiophen-2-ylidene)-4-methyl-1-benzothiophen-3-one,16926,393.316,0,4,6.09884,False,Octanol-water partition coefficient (LogP) > 5)
"1-amino-4-hydroxy-2-methoxyanthracene-9,10-dione",16927,269.256,2,5,1.7584,True,None
4-(2-hydroxyethyl)-2-methoxyphenol,16928,168.192,2,3,0.9356,True,None
10-methylbenzo[a]anthracene,16929,242.321,0,0,5.45462,False,Octanol-water partition coefficient (LogP) > 5)
9-methylbenzo[a]anthracene,16930,242.321,0,0,5.45462,False,Octanol-water partition coefficient (LogP) > 5)
3-methylbenzo[c]phenanthrene,16931,242.321,0,0,5.45462,False,Octanol-water partition coefficient (LogP) > 5)
1-methylpyrene,16932,216.283,0,0,4.89242,True,None
8-methylbenzo[a]anthracene,16933,242.321,0,0,5.45462,False,Octanol-water partition coefficient (LogP) > 5)
6-methylbenzo[c]phenanthrene,16934,242.321,0,0,5.45462,False,Octanol-water partition coefficient (LogP) > 5)
6-methylbenzo[a]pyrene,16935,266.343,0,0,6.04562,False,Octanol-water partition coefficient (LogP) > 5)
"7,10-dimethylbenzo[c]acridine",16936,257.336,0,1,5.15804,False,Octanol-water partition coefficient (LogP) > 5)
"[(10S,13S,17S)-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl] 3-cyclopentylpropanoate",16937,414.63,0,3,6.4804,False,Octanol-water partition coefficient (LogP) > 5)
(5-aminobenzo[a]phenoxazin-9-ylidene)-diethylazanium chloride,16938,353.853,1,3,0.484,True,None
(5-aminobenzo[a]phenoxazin-9-ylidene)-diethylazanium,16939,318.4,1,3,3.48,True,None
dodec-9-enoic acid,16940,198.306,1,1,3.7679,True,None
2-hydroxypropyl(trimethyl)azanium chloride,16941,153.653,1,1,-2.9226,True,None
2-hydroxypropyl(trimethyl)azanium,16942,118.2,1,1,0.0734,True,None
"1,3-benzoxazole-2-thiol",16943,151.19,1,3,2.1165,True,None
dec-4-yne,16944,138.254,0,0,3.3702,True,None
"1,2,3,4,5,5,6,7,8,9,10,10-dodecachloropentacyclo[5.3.0.02,6.03,9.04,8]decane",16945,545.546,0,0,6.223,False,Molecular Weight (g/mol) > 500); Octanol-water partition coefficient (LogP) > 5)
2-(4-butylsulfanylphenyl)-N-hydroxyacetamide,16946,239.34,2,3,2.6267,True,None
"ethyl 4-acetyl-3,5-dimethyl-1H-pyrrole-2-carboxylate",16947,209.245,1,3,2.01084,True,None
sodium dodecane-1-sulfonate,16948,272.386,0,3,0.4565,True,None
7-oxabicyclo[4.1.0]heptan-3-ylmethyl 7-oxabicyclo[4.1.0]heptane-3-carboxylate,16949,252.31,0,4,1.6646,True,None
(2S)-2-[[N'-[(4S)-4-amino-4-carboxybutyl]carbamimidoyl]amino]butanedioic acid,16950,290.276,6,5,-1.9893,False,Hydrogen bond donors > 5)
undecyl hydrogen carbonate,16951,216.321,1,2,4.2118,True,None
1-propan-2-yl-4-prop-1-en-2-ylbenzene,16952,160.26,0,0,3.8431,True,None
"4-(3,6-dimethyl-1,3-benzothiazol-3-ium-2-yl)-N,N-dimethylaniline chloride",16953,318.873,0,2,0.77122,True,None
"4-(3,6-dimethyl-1,3-benzothiazol-3-ium-2-yl)-N,N-dimethylaniline",16954,283.42,0,2,3.76722,True,None
